"","Country_of_Origin","Releases_from_2000","Releases_from_2001","Releases_from_2002","Releases_from_2003","Releases_from_2004","Releases_from_2005","Releases_from_2006","Releases_from_2007","Releases_from_2008","Releases_from_2009","Releases_from_2010","Releases_from_2011","Releases_from_2012","Releases_from_2013","Releases_from_2014","Releases_from_2015","Releases_from_2016","Releases_from_2017","Releases_from_2018","Releases_from_2019","Releases_from_2020","Releases_from_2021","GDP_growth_2000","GDP_growth_2001","GDP_growth_2002","GDP_growth_2003","GDP_growth_2004","GDP_growth_2005","GDP_growth_2006","GDP_growth_2007","GDP_growth_2008","GDP_growth_2009","GDP_growth_2010","GDP_growth_2011","GDP_growth_2012","GDP_growth_2013","GDP_growth_2014","GDP_growth_2015","GDP_growth_2016","GDP_growth_2017","GDP_growth_2018","GDP_growth_2019","GDP_growth_2020","GDP_growth_2021","GDP_growth_2022"
"11","Bangladesh",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,3.5,3.38,2.23,3.2,3.77,5.14,5.34,5.85,4.94,3.92,4.38,5.29,5.37,4.89,4.97,5.48,6.02,6.17,6.77,7.07,2.5,5.92,5.03
"12","Belarus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.12,5.08,5.52,7.58,12.01,9.95,10.48,8.94,10.44,0.36,7.98,5.58,1.88,1.19,1.92,-3.65,-2.33,2.77,3.4,1.48,-0.68,2.57,-9.27
"13","Belgium",0,0,0,0,0,0,0,1,0,0,0,3,1,7,3,7,15,13,16,13,4,5,3.43,0.82,1.37,0.62,3.13,1.78,1.91,2.95,-0.33,-2.79,2.03,0.8,-0.13,-0.35,0.78,1.25,0.72,1.19,0.8,0.75,-6.27,5.61,1.62
"14","Bermuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Botswana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.11,-1.72,4.11,2.8,0.9,2.72,6.47,6.39,4.41,-9.23,6.74,4.29,2.74,9.53,2.47,-3.26,2.67,1.31,2.89,1.43,-9.24,10.9,2.93
"16","Brazil",0,0,1,0,0,0,0,0,1,0,0,0,3,3,3,3,8,12,15,18,23,7,2.89,-0.03,1.66,-0.17,4.45,1.99,2.8,4.93,4.02,-1.1,6.53,3.05,1.04,2.14,-0.31,-4.3,-4.01,0.57,0.58,0.43,-4.81,4.4,0.02
"17","Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,1,0,1,0,5.58,4.63,6.81,5.99,7.23,7.92,7.55,7.25,6.71,-2.94,1.07,2.92,0.94,0.88,2.46,4.59,4.43,4.14,3.73,4.04,-3.47,4.54,3.29
"18","Burkina Faso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06,2.8,-0.3,4.02,1.71,5.75,3.38,1.25,2.84,0.04,5.34,3.54,3.25,2.64,1.34,0.94,2.96,3.19,3.88,2.85,-0.66,3.86,1.96
"19","Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,8.95,5.83,4.99,6.9,8.75,11.65,9.12,8.45,4.87,-1.67,4.15,5.26,5.51,5.57,5.39,5.33,5.36,5.21,5.87,5.51,-4.38,0.97,3.93
"20","Cameroon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,1.56,1.38,1.7,3.92,-0.69,0.72,2.01,0.54,-0.68,0.55,1.31,1.74,2.54,2.68,2.34,1.63,0.79,1.33,1.17,-4.24,0.57,1.37
"21","Canada",3,2,3,2,4,2,4,6,4,9,14,15,16,8,30,36,57,58,67,44,39,12,3.98,0.51,2.56,3,3.12,4.17,3.26,5.79,-0.16,-4.1,1.87,1.96,0.59,1.14,1.83,-0.24,0.07,2.25,1.15,0.82,-5.99,3.75,2.72
"22","Cayman Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Chile",0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,6,6,3,4,2,2,0,4.05,2.14,2,3.03,6.17,4.75,5.32,3.92,2.53,-2.52,4.85,5.14,4.38,3.14,0.91,1.46,0.89,0.4,3.17,0.32,-6.88,11.1,-1.5
"24","China",1,0,0,0,2,1,1,1,5,0,4,4,2,3,4,10,25,27,24,24,15,7,7.84,7.74,8.55,9.47,9.55,10.81,12.11,13.62,9.08,8.84,10.1,9.04,7.36,7.28,6.95,6.56,6.38,6.5,6.34,5.73,1.98,7.87,3.75
"25","Colombia",0,0,0,1,0,0,0,2,2,0,1,0,2,0,0,1,4,4,15,10,6,4,2.01,0.64,1.24,2.51,3.86,3.4,5.3,5.36,1.98,-0.1,3.25,5.7,2.73,3.97,3.37,1.87,1.04,0.19,1.36,2.18,-8.18,9.8,5.11
"26","Croatia",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,3.22,2.69,4.55,5.67,4.15,4.3,5.03,5.34,1.83,-7.25,-1.24,0,-1.93,-0.22,0.32,2.95,4,3.65,3.2,3.45,-7.65,10.99,3.73
"27","Cuba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.55,2.89,1.14,3.51,5.59,11.13,12.08,7.31,4.15,1.43,2.38,2.79,3.03,2.85,1.16,4.66,0.82,2.11,2.53,0.7,-10.68,0.72,-2.46
"28","Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.49,2.51,2.17,0.73,2.63,2.41,2.65,3.31,1.91,-3.63,0.36,-1.19,-4.94,-7.95,-3.29,1.92,5.3,2.99,2.74,1.98,-6.08,4.35,1.58
"29","Czech Republic",0,0,0,0,1,3,2,0,0,1,0,0,0,1,1,0,4,2,4,0,1,2,4.38,3.1,1.8,3.58,4.82,6.33,6.51,4.94,1.8,-5.37,1.96,1.56,-0.97,-0.65,2.54,5.14,2.3,4.22,2.74,2.48,-5.87,3.22,0.61
"30","Denmark",0,0,0,0,0,1,0,1,0,0,0,0,3,3,7,4,7,5,6,4,4,2,3.41,0.47,0.15,0.13,2.41,2.06,3.57,0.45,-1.12,-5.43,1.41,0.91,-0.17,0.49,1.08,1.6,2.43,1.33,1.76,1.81,-2.52,4.24,2.67
"31","Dominican Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.08,0.92,2.95,-2.77,1.13,7.93,7.72,6.02,1.9,-0.3,7.04,1.9,1.5,3.68,5.87,5.79,5.56,3.6,5.92,4.06,-7.61,11.2,3.35
"32","East Germany",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.35,2.51,2.49,0.78,5.83,3.03,2.49,0.61,4.73,-0.94,2,6.31,4.14,3.48,2.36,-1.25,-2.53,1.05,0.02,-1.17,-8.89,3,1.49
"34","Egypt",0,0,0,0,2,1,5,2,5,4,5,8,9,6,4,3,7,14,15,6,3,2,4.23,1.45,0.27,1.02,1.93,2.35,4.66,4.82,4.8,2.3,2.66,-0.75,-0.36,-0.4,0.31,1.73,1.73,1.63,2.8,3.11,1.59,1.41,3.61
"35","Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41,5.59,-1.09,-4.72,10.59,8.9,7.93,8.49,7.83,5.88,9.5,8.09,5.59,7.52,7.13,7.27,6.46,6.61,4,5.51,3.38,3.65,2.82
"36","Finland",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,4,1,0,5.56,2.38,1.46,1.76,3.69,2.43,3.63,4.86,0.32,-8.51,2.71,2.07,-1.87,-1.36,-0.8,0.13,2.31,2.72,1.28,0.66,-2.58,3.2,0.96
"37","France",3,0,6,4,2,3,3,2,4,9,14,12,7,16,23,33,52,40,47,49,26,13,3.38,1.4,0.55,0.26,2.23,1.05,1.81,1.79,-0.32,-3.41,1.38,1.64,-0.2,0.09,0.49,0.67,0.67,1.88,1.41,1.14,-8.3,6.65,2.4
"38","Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.54,5.36,5.88,11.63,5.97,8.51,8.5,12.73,2.43,-4.29,5.23,6.63,6.11,3.79,4.56,3.12,2.97,4.88,4.87,5.11,-6.73,10.31,2.15
"39","Germany",3,2,6,4,4,8,5,3,5,7,4,6,6,7,12,14,30,22,14,14,33,9,2.76,1.53,-0.37,-0.77,1.21,0.78,3.93,3.12,1.17,-5.43,4.43,4.14,0.62,0.62,2.42,1.92,2.4,2.64,1.71,0.75,-4.94,2.98,1.98
"40","Ghana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1.68,1.93,2.32,2.95,3.36,3.61,4.05,2.05,6.8,2.58,5.52,11.51,6.88,4.98,0.67,-0.03,1.22,5.54,3.74,3.99,-1.89,2.96,1.89
